,start_date,"Broxden Park & Ride, Perth","Canal Street Car Park 3rd floor, Perth","Crown Inn Wynd Car Park, Auchterarder","Friarton Depot, Perth","King Street Car Park, Crieff","Kinross Park and Ride, Kinross","Leslie Street Car Park, Blairgowrie","Moness Terrace Car Park, Aberfeldy","Rie-Achan Road Car Park, Pitlochry","South Inch Car Park, Perth"
37,2016-02-15,,,,1.2530095649100124,,,,,1.9245184256937438,
38,2016-02-16,,,,1.2530095649100124,,,,,1.9245184256937438,
39,2016-02-17,,,,1.2530095649100124,,,,,1.9245184256937438,
40,2016-02-18,,,,1.2530095649100124,,,,,1.9245184256937438,
41,2016-02-19,,,,1.2530095649100124,,,,,1.9245184256937438,
42,2016-02-20,,,,1.2530095649100124,,,,,1.9245184256937438,
43,2016-02-21,,,,1.2530095649100124,,,,,1.9245184256937438,
44,2016-02-22,,,,1.2530095649100124,,,,,1.9245184256937438,
45,2016-02-23,,,,1.2530095649100124,,,,,1.9245184256937438,
46,2016-02-24,,,,1.2530095649100124,,,,,1.9245184256937438,
47,2016-02-25,,,,1.2530095649100124,,,,,1.9245184256937438,
48,2016-02-26,,,,1.2530095649100124,,,,,1.9245184256937438,
49,2016-02-27,,,,1.2530095649100124,,,,,1.9245184256937438,
50,2016-02-28,,,,1.2530095649100124,,,,,1.9245184256937438,
51,2016-02-29,,,,1.2530095649100124,,,,,1.9245184256937438,
52,2016-03-01,,,,1.2530095649100124,,,,,1.9245184256937438,
53,2016-03-02,,,,1.2530095649100124,,,,,1.9245184256937438,
54,2016-03-03,,,,1.2530095649100124,,,,,1.9245184256937438,
55,2016-03-04,,,,1.2530095649100124,,,,,1.9245184256937438,
56,2016-03-05,,,,1.2530095649100124,,,,,1.9245184256937438,
57,2016-03-06,,,,1.2530095649100124,,,,,1.9245184256937438,
58,2016-03-07,,,,1.2530095649100124,,,,,1.9245184256937438,
59,2016-03-08,,,,1.2530095649100124,,,,,1.9245184256937438,
60,2016-03-09,102.00061128461378,,24.328,1.2530095649100124,5.4959999999999996,123.011,14.280000000000001,,38.20852865537932,13.11
61,2016-03-10,134.59667707682698,,7.95,5.924365885715623,14.96,76.82,,7.64,36.07250581943371,26.926000000000002
62,2016-03-11,104.76067707682698,,,8.407967349833658,59.488,54.894,21.939999999999998,27.63,15.733625416878546,28.781000000000002
63,2016-03-12,130.11367707682697,,,9.357981398185215,,69.682,44.91,8.447,6.269905205448479,28.056
64,2016-03-13,0.516677076826983,,,1.447981398185215,,,,,1.1671539442918863,
65,2016-03-14,0.516677076826983,,,1.447981398185215,,,,,1.1671539442918863,
66,2016-03-15,0.516677076826983,,,1.447981398185215,,,,,1.1671539442918863,
