,start_date,1100 Spruce St,1100 Walnut St,1360 Gillaspie Dr,1500 Pearl St,3172 Broadway,900 Walnut St
189,2018-07-09,37.693999999999996,,6.126,24.492,,49.658
190,2018-07-10,27.671999999999997,86.18799999999999,42.31,45.08,,51.11000000000001
191,2018-07-11,46.162,,8.694,30.540000000000003,,39.126000000000005
192,2018-07-12,25.828,30.232,7.167999999999999,,,31.924
193,2018-07-13,13.21,9.688,,,,40.564
194,2018-07-14,4.682,15.68,36.983999999999995,64.75,,19.546
195,2018-07-15,65.124,18.286,18.272,,,56.066
196,2018-07-16,25.858,41.31,86.332,27.912,,61.318
197,2018-07-17,71.16999999999999,31.678,88.13999999999999,1.93,,
198,2018-07-18,11.764,24.672,22.012,6.218,,
199,2018-07-19,30.116,55.502,138.09799999999998,,,29.524
200,2018-07-20,13.796,27.188000000000002,17.422,25.272,,12.129999999999999
201,2018-07-21,44.718,51.836,16.822,64.816,,54.279999999999994
202,2018-07-22,4.52,24.804,108.02493033707864,26.37,,24.274
203,2018-07-23,64.384,26.814,65.16906966292134,22.762,,37.989999999999995
204,2018-07-24,14.178,,88.12079920477137,20.382000000000005,,66.888
205,2018-07-25,20.832,27.485999999999997,118.80700912856194,,,17.834
206,2018-07-26,39.29,,114.7353987672584,7.796,,40.354
207,2018-07-27,58.538000000000004,31.502,39.854792899408274,5.972,,81.79599999999999
208,2018-07-28,39.00599999999999,,,112.352,,59.328
209,2018-07-29,11.446,84.242,72.024,,,19.918
210,2018-07-30,39.268531645569624,,66.21803378378378,14.518,,26.836
211,2018-07-31,14.901468354430378,28.476,37.55979478764479,30.060000000000002,,91.13799999999999
212,2018-08-01,15.176,24.796,88.17617142857142,31.432000000000002,,38.160000000000004
213,2018-08-02,19.972,24.902,41.883640404040406,10.966,,81.154
214,2018-08-03,38.24,38.458,123.8843595959596,21.666,,135.108
215,2018-08-04,39.076,2.614,0.084,,,36.964
216,2018-08-05,,38.252,22.706,58.06,,
217,2018-08-06,11.814,11.088,41.640575999999996,,,64.68799999999999
218,2018-08-07,32.968,6.208,111.18851212260536,26.102,,29.586
219,2018-08-08,43.364,13.376,107.08091187739463,34.816,,84.886
220,2018-08-09,51.63,36.916,65.798,27.024,,55.122
221,2018-08-10,52.164,39.094,38.008,19.058,,63.888000000000005
222,2018-08-11,4.176,61.068,16.984,14.426,,64.24000000000001
223,2018-08-12,45.222,69.51599999999999,129.74960649819494,29.23,,23.986
224,2018-08-13,58.465999999999994,,120.69239350180507,19.126,,
225,2018-08-14,28.496000000000002,13.846,6.11,25.568,,48.104
226,2018-08-15,32.672,,133.30897101449276,2.848,,25.068000000000005
227,2018-08-16,48.465999999999994,28.492000000000004,142.83257444005267,34.397999999999996,,35.14
228,2018-08-17,54.37,46.704,61.32045454545454,14.484,,92.578
229,2018-08-18,21.583999999999996,15.45,52.403999999999996,20.548,,68.672
230,2018-08-19,31.567999999999998,31.800000000000004,,23.786,,11.41
231,2018-08-20,27.724,13.274,57.2179843444227,3.176,,84.04599999999999
232,2018-08-21,,3.62,115.90166359565222,7.53,,61.824
233,2018-08-22,36.0,35.92,167.23194091009933,21.474,29.816,80.244
234,2018-08-23,12.442,35.482,71.39841114982578,42.410000000000004,9.474,79.056
235,2018-08-24,67.2296,18.364,77.068,,29.668000000000003,98.898
236,2018-08-25,42.5064,11.04,11.495999999999999,46.16,,66.998
237,2018-08-26,,,43.123999999999995,11.82,47.488,15.936
238,2018-08-27,56.242,16.104,73.9948988764045,6.092,44.544000000000004,
239,2018-08-28,81.946,47.97,68.20325798634063,2.938,2.9720000000000004,43.182
240,2018-08-29,72.188,7.218,72.53584313725489,,13.67,72.708
